strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
AM140,-2.93584092739553,0.883463593351554,-3.32310346401256,8.90218894101565e-4,0.0105882856062813,WBGene00021463,zeel-1,?,189770
AM140,-2.82968712765826,0.235716885174145,-12.0046008819764,3.36081294588237e-33,5.06522522557985e-30,WBGene00010064,F54F7.2,?,186253
AM140,-2.7834978539432,0.831465601317213,-3.34770055373736,8.14850048901622e-4,0.00986830790195393,WBGene00086562,T02G6.11,?,7040170
AM140,-2.75161720266189,0.340855864816817,-8.07267084619671,6.87768357491249e-16,1.81398904288317e-13,WBGene00015322,C02B8.3,?,182104
AM140,-2.55164928682633,0.830456776635815,-3.07258530319071,0.00212213170441861,0.0207943589851722,WBGene00020758,T24C4.2,?,188843
AM140,-2.44062044464019,0.540473565564965,-4.51570733545308,6.31057685757329e-6,1.66474977315626e-4,WBGene00017912,fbxb-107,F-box_B_protein,173619
AM140,-2.39200809874673,0.764996671860527,-3.12682157548371,0.00176707134095031,0.0179601181570575,WBGene00012096,T27E9.6,?,176777
AM140,-2.295887671583,0.736575166964761,-3.11697675207239,0.00182715980198659,0.0184288106223313,WBGene00014024,ZK637.4,?,191370
AM140,-2.29495822565703,0.673607299456904,-3.40696757221506,6.56889309252158e-4,0.00828969164187831,WBGene00004106,pqn-15,Prion-like-(Q/N-rich)-domain-bearing_protein,182830
AM140,-2.19037110268564,0.694648048271389,-3.15320989979935,0.00161485646242837,0.0169183075259378,WBGene00015411,srz-60,"Serpentine_Receptor,_class_Z",182194
AM140,-2.15634216531911,0.627474143945254,-3.43654345940229,0.00058918782036859805,0.00758965995712908,WBGene00017474,F14H12.7,?,184503
AM140,-2.1480286057752,0.586369301332598,-3.66326920746624,2.49016584808271e-4,0.00374099584070591,WBGene00013007,Y48E1B.8,?,175002
AM140,-2.1084059040798,0.733391493181073,-2.87487095730361,0.00404192654762588,0.0341685297094976,WBGene00219443,Y57G11C.1144,?,24105173
AM140,-2.06709893127891,0.537399592101074,-3.84648399749832,1.19824952946691e-4,0.00204887075135752,WBGene00013796,Y116A8C.19,?,178477
AM140,-2.05640814134271,0.573775445606643,-3.58399467437737,3.38378986837646e-4,0.00483071490005029,WBGene00011315,mbr-1,honeybee_MBlk-1_Related_factor,187937
