strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
AM140,3.3425415076712,0.374887990282723,8.91610719551302,4.82966032037947e-19,1.75699711655184e-16,WBGene00016596,C42D4.3,?,177492
AM140,2.98115291302437,0.95416496832396,3.12435795904446,0.0017819353206313,0.018055917159619,WBGene00000618,col-41,COLlagen,181610
AM140,2.96865900963215,0.680092585983854,4.36508068285665,1.27075845947365e-5,3.00594209584014e-4,WBGene00004997,spp-12,SaPosin-like_Protein_family,188762
AM140,2.96584476218455,0.753179928734672,3.93776393798373,8.22444450175524e-5,0.00148321178621398,WBGene00004994,spp-9,SaPosin-like_Protein_family,188888
AM140,2.70643149552227,0.378200551618009,7.15607495532114,8.30197616266199e-13,1.09482310645105e-10,WBGene00004300,ram-2,?,174687
AM140,2.67940465851032,0.340189624520143,7.87620922386972,3.37462973233e-15,7.57496673959181e-13,WBGene00000681,col-107,COLlagen,176961
AM140,2.59952656978145,0.408044017408074,6.37070134318801,1.88165740251437e-10,1.60092625778441e-8,WBGene00021625,Y47D7A.13,?,178841
AM140,2.59331749032616,0.571213968372815,4.54001063334217,5.62513913131306e-6,1.51005643346954e-4,WBGene00015340,C02E7.7,?,178884
AM140,2.58516401585842,0.298478383989061,8.66114316657906,4.6705650624544e-18,1.49316549723921e-15,WBGene00235094,K08D9.9,?,24104735
AM140,2.57299531689863,0.377473575361931,6.81635877274742,9.33769319533706e-12,1.00523125725312e-9,WBGene00022679,ZK180.5,?,177218
AM140,2.53680614615363,0.779026757932233,3.25637870628098,0.00112843132239357,0.0126918448307592,WBGene00008215,C49F8.3,?,181459
AM140,2.44301935780997,0.668339635790067,3.65535608990479,2.56825246232407e-4,0.00381417307271454,WBGene00050906,F20E11.17,?,6418731
AM140,2.34807619567156,0.388905969213845,6.03764503902597,1.56379586186992e-9,1.10725143239783e-7,WBGene00020194,T03G6.1,?,188029
AM140,2.29320989457138,0.61731781853688,3.71479621308611,2.03367520445379e-4,0.00314272642435435,WBGene00020033,R12E2.7,?,172002
AM140,2.26492217261348,0.334669728343178,6.76763382163736,1.30905554559596e-11,1.35397411823896e-9,WBGene00013637,Y105C5A.13,?,178441
AM140,2.15797816976483,0.393774936786005,5.48023240731943,4.24767500992882e-8,2.12383750496441e-6,WBGene00009983,cut-2,Cuticlin-2,179823
AM140,2.11792777962567,0.32927256321146,6.43214168520178,1.25818372811687e-10,1.09701143236636e-8,WBGene00009964,fip-6,Fungus-Induced_Protein,172707
AM140,2.07736111685427,0.750520264987893,2.76789477081979,0.00564196692597745,0.0438863479492038,WBGene00015012,bath-20,BTB_and_MATH_domain_containing,181824
AM140,2.04638728178428,0.376582470327671,5.43410127402819,5.50732969018447e-8,2.65307434846786e-6,WBGene00000756,col-183,COLlagen,184081
AM140,2.03019624861272,0.707894774164908,2.86793506988057,0.0041316031438735,0.0348428562492929,WBGene00009028,F21H7.2,?,180087
