strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
N2,-4.45646697470341,1.15912222120557,-3.84469117507588,1.20704353301681e-4,0.00250284026699073,WBGene00009573,F40E10.5,?,185535
N2,-3.98819446982117,0.499185674859179,-7.9894008796351,1.35596097325862e-15,8.3645842537891e-13,WBGene00020700,T22F3.11,?,178782
N2,-3.72442363604885,0.659841390881388,-5.64442256505601,1.65736554027255e-8,1.15198576637254e-6,WBGene00001477,fmo-2,Dimethylaniline_monooxygenase,177958
N2,-3.14371002318366,0.378700823249601,-8.30130232146775,1.02976280529428e-16,8.46979907354549e-14,WBGene00010790,sodh-1,Alcohol_dehydrogenase_1,179627
N2,-3.04358450996122,0.845237492219904,-3.60086311596005,3.17162535156842e-4,0.00536945835677192,WBGene00045486,K05F6.12,?,6418628
N2,-2.89365541824468,0.809815663956589,-3.57322727508985,3.52608464279192e-4,0.00584915217216072,WBGene00015411,srz-60,"Serpentine_Receptor,_class_Z",182194
N2,-2.642589552805,0.764785469315501,-3.45533441576783,5.496106661456e-4,0.00855624175844963,WBGene00006556,tbx-37,Putative_T-box_protein_37,189977
N2,-2.46616179173662,0.854260894023221,-2.88689533723357,0.00389063627963043,0.038745790846479,WBGene00000616,col-39,Cuticle_collagen_39,174651
N2,-2.38872625179726,0.667652386000906,-3.57779931875211,3.4649931934672e-4,0.0057671977773223,WBGene00000712,col-139,COLlagen,178857
N2,-2.28121209282123,0.189462685226009,-12.0404294391794,2.17818786146823e-33,1.07493570963457e-29,WBGene00016627,C44B7.5,?,174124
N2,-2.24724670254064,0.34721027516104,-6.47229319897962,9.65265832645999e-11,1.38074982148058e-8,WBGene00010064,F54F7.2,?,186253
N2,-2.24544369826565,0.385353150077325,-5.8269763665227,5.64406014291392e-9,4.35209950082503e-7,WBGene00000657,col-81,COLlagen,174686
N2,-2.21088277436351,0.317785398208382,-6.95715658059835,3.47208993948936e-12,7.78852902335455e-10,WBGene00009221,acs-2,fatty_Acid_CoA_Synthetase_family,3565680
N2,-2.19762554635178,0.669483131683113,-3.28257045226344,0.00102865277828803,0.0136646068932744,WBGene00018104,fbxb-53,F-box_B_protein,185384
N2,-2.19566456640331,0.476815072463017,-4.60485562056895,4.12752120323349e-6,1.49225766578441e-4,WBGene00010142,F56A8.8,?,176746
N2,-2.19248826136604,0.465557931498608,-4.70937795927679,2.48473936540665e-6,9.61740295551514e-5,WBGene00015322,C02B8.3,?,182104
N2,-2.19230942343918,0.177989161754751,-12.3170950513264,7.32869356313818e-35,7.23342054681738e-31,WBGene00006557,tbx-38,Putative_T-box_protein_38,182861
N2,-2.14099529012063,0.739117675218035,-2.89669069203229,0.00377121370938086,0.0378655944166725,WBGene00021774,fbxb-43,F-box_B_protein,173528
N2,-2.12184086651039,0.479743908320708,-4.42286150946172,9.7402180609394e-6,2.99488947855052e-4,WBGene00000169,aqp-1,AQuaPorin_or_aquaglyceroporin_related,174190
N2,-2.11215315149955,0.648756876286383,-3.25569289313733,0.00113116030665979,0.0147454169874486,WBGene00011267,fbxb-85,F-box_B_protein,187876
N2,-2.09038707005304,0.260016577464783,-8.03943767906939,9.02516729141734e-16,5.93856007775261e-13,WBGene00021165,Y5H2B.3,?,189362
N2,-2.02125913364725,0.451916756042247,-4.47263595921699,7.72612456255072e-6,2.4839364635953e-4,WBGene00017598,F19F10.1,?,184684
N2,-1.98365467422413,0.689551214355247,-2.8767329139996,0.00401815535361702,0.039540571625324,WBGene00010034,F54B11.11,?,186218
N2,-1.97813008371171,0.51747928673877,-3.82262659473421,1.32037651661366e-4,0.00265961555489324,WBGene00015587,sdz-2,SKN-1_Dependent_Zygotic_transcript,181750
N2,-1.97407105269422,0.503140179700462,-3.92350110831827,8.7271363732052e-5,0.0019291643948365,WBGene00007887,gadr-2,?,177782
N2,-1.9317980800393,0.41584011876016,-4.64553080111418,3.39203157303583e-6,1.26337175946655e-4,WBGene00012581,Y38E10A.3,?,174892
N2,-1.9203466269363,0.517131109955157,-3.71346180875258,2.04443329213243e-4,0.00380814594820194,WBGene00019547,K09C4.1,?,180621
