strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
N2,3.82992691708224,1.017156869498,3.76532571516962,1.66332111682755e-4,0.00325088701447286,WBGene00021213,Y18H1A.9,?,171666
N2,3.69243212025445,0.926803239852059,3.98405180461374,6.77500932059496e-5,0.00157710712250642,WBGene00016273,C30G12.1,?,183060
N2,3.25295536138159,0.460381145005587,7.06578754727697,1.59707602848883e-12,4.3786501114402e-10,WBGene00009963,fipr-26,FIP_(Fungus-Induced_Protein)_Related,172708
N2,2.88397368046939,0.884090944859902,3.26207806700973,0.00110598681044983,0.0144806846811202,WBGene00004997,spp-12,SaPosin-like_Protein_family,188762
N2,2.85972226029484,0.836228519375131,3.41978561366426,6.26705048370203e-4,0.00952465799420444,WBGene00004994,spp-9,SaPosin-like_Protein_family,188888
N2,2.80874696566335,0.77889275298629,3.60607664520509,3.10861355050558e-4,0.00529913916122454,WBGene00000893,cyn-17,CYclophyliN,178969
N2,2.7847173850952,0.617300411993102,4.511121863833,6.44856578750117e-6,2.13581692357841e-4,WBGene00022013,Y60C6A.1,?,190442
N2,2.71942246707144,0.526973690325838,5.16045206239796,2.46354240093552e-7,1.27304520927925e-5,WBGene00009983,cut-2,Cuticlin-2,179823
N2,2.67800399168015,0.640702669665581,4.17979215394553,2.91775650956869e-5,7.63879489375145e-4,WBGene00000738,col-165,COLlagen,180710
N2,2.66512413130123,0.746706846327455,3.56917061147781,3.58113162252575e-4,0.00592056434075865,WBGene00000606,col-17,COLlagen,173839
N2,2.65693812378268,0.714761805542808,3.71723573248984,2.0141449281056e-4,0.00377596719641955,WBGene00000902,daf-6,?,181584
N2,2.63397947359594,0.807469537997633,3.26201714076755,0.00110622454402884,0.0144806846811202,WBGene00044539,K09H11.9,?,3896824
N2,2.55876423768842,0.484994793695372,5.27585918642994,1.32135524547526e-7,7.24543126268936e-6,WBGene00005005,spp-20,SaPosin-like_Protein_family,186973
N2,2.52767690667885,0.71681634045975,3.52625458434395,4.21481595266427e-4,0.00680854884661151,WBGene00000756,col-183,COLlagen,184081
N2,2.47616734664936,0.746561674506843,3.31676193836905,9.10671770470156e-4,0.0126596202458316,WBGene00007590,ttr-43,TransThyretin-Related_family_domain,182609
N2,2.46235439637071,0.794493227598278,3.09927676012332,0.00193993711487043,0.0226862314262691,WBGene00001444,flp-1,FMRFamide-like_neuropeptides_1_PNFMRY-amide_AGSDPNFLRF-amide_SQPNFLRF-amide_ASGDPNFLRF-amide_SDPNFLRF-amide_AAADPNFLRF-amide_SADPNFLRF-amide_PNFLRF-amide,177737
