strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
N2,-4.45646697470341,1.15912222120557,-3.84469117507588,1.20704353301681e-4,0.00250284026699073,WBGene00009573,F40E10.5,?,185535
N2,-3.98819446982117,0.499185674859179,-7.9894008796351,1.35596097325862e-15,8.3645842537891e-13,WBGene00020700,T22F3.11,?,178782
N2,3.82992691708224,1.017156869498,3.76532571516962,1.66332111682755e-4,0.00325088701447286,WBGene00021213,Y18H1A.9,?,171666
N2,-3.72442363604885,0.659841390881388,-5.64442256505601,1.65736554027255e-8,1.15198576637254e-6,WBGene00001477,fmo-2,Dimethylaniline_monooxygenase,177958
N2,3.69243212025445,0.926803239852059,3.98405180461374,6.77500932059496e-5,0.00157710712250642,WBGene00016273,C30G12.1,?,183060
N2,3.25295536138159,0.460381145005587,7.06578754727697,1.59707602848883e-12,4.3786501114402e-10,WBGene00009963,fipr-26,FIP_(Fungus-Induced_Protein)_Related,172708
N2,-3.14371002318366,0.378700823249601,-8.30130232146775,1.02976280529428e-16,8.46979907354549e-14,WBGene00010790,sodh-1,Alcohol_dehydrogenase_1,179627
N2,-3.04358450996122,0.845237492219904,-3.60086311596005,3.17162535156842e-4,0.00536945835677192,WBGene00045486,K05F6.12,?,6418628
N2,-2.89365541824468,0.809815663956589,-3.57322727508985,3.52608464279192e-4,0.00584915217216072,WBGene00015411,srz-60,"Serpentine_Receptor,_class_Z",182194
N2,2.88397368046939,0.884090944859902,3.26207806700973,0.00110598681044983,0.0144806846811202,WBGene00004997,spp-12,SaPosin-like_Protein_family,188762
N2,2.85972226029484,0.836228519375131,3.41978561366426,6.26705048370203e-4,0.00952465799420444,WBGene00004994,spp-9,SaPosin-like_Protein_family,188888
N2,2.80874696566335,0.77889275298629,3.60607664520509,3.10861355050558e-4,0.00529913916122454,WBGene00000893,cyn-17,CYclophyliN,178969
N2,2.7847173850952,0.617300411993102,4.511121863833,6.44856578750117e-6,2.13581692357841e-4,WBGene00022013,Y60C6A.1,?,190442
N2,2.71942246707144,0.526973690325838,5.16045206239796,2.46354240093552e-7,1.27304520927925e-5,WBGene00009983,cut-2,Cuticlin-2,179823
N2,2.67800399168015,0.640702669665581,4.17979215394553,2.91775650956869e-5,7.63879489375145e-4,WBGene00000738,col-165,COLlagen,180710
N2,2.66512413130123,0.746706846327455,3.56917061147781,3.58113162252575e-4,0.00592056434075865,WBGene00000606,col-17,COLlagen,173839
N2,2.65693812378268,0.714761805542808,3.71723573248984,2.0141449281056e-4,0.00377596719641955,WBGene00000902,daf-6,?,181584
N2,-2.642589552805,0.764785469315501,-3.45533441576783,5.496106661456e-4,0.00855624175844963,WBGene00006556,tbx-37,Putative_T-box_protein_37,189977
N2,2.63397947359594,0.807469537997633,3.26201714076755,0.00110622454402884,0.0144806846811202,WBGene00044539,K09H11.9,?,3896824
N2,2.55876423768842,0.484994793695372,5.27585918642994,1.32135524547526e-7,7.24543126268936e-6,WBGene00005005,spp-20,SaPosin-like_Protein_family,186973
N2,2.52767690667885,0.71681634045975,3.52625458434395,4.21481595266427e-4,0.00680854884661151,WBGene00000756,col-183,COLlagen,184081
N2,2.47616734664936,0.746561674506843,3.31676193836905,9.10671770470156e-4,0.0126596202458316,WBGene00007590,ttr-43,TransThyretin-Related_family_domain,182609
N2,-2.46616179173662,0.854260894023221,-2.88689533723357,0.00389063627963043,0.038745790846479,WBGene00000616,col-39,Cuticle_collagen_39,174651
N2,2.46235439637071,0.794493227598278,3.09927676012332,0.00193993711487043,0.0226862314262691,WBGene00001444,flp-1,FMRFamide-like_neuropeptides_1_PNFMRY-amide_AGSDPNFLRF-amide_SQPNFLRF-amide_ASGDPNFLRF-amide_SDPNFLRF-amide_AAADPNFLRF-amide_SADPNFLRF-amide_PNFLRF-amide,177737
N2,2.41301705037712,0.43690760801258,5.52294582681574,3.33362544836054e-8,2.12276665647216e-6,WBGene00020472,lips-11,LIPaSe_related,188467
N2,-2.38872625179726,0.667652386000906,-3.57779931875211,3.4649931934672e-4,0.0057671977773223,WBGene00000712,col-139,COLlagen,178857
