AM.dn	AM.up	N2.dn	N2.up
WBGene00021463	WBGene00016596	WBGene00009573	WBGene00021213
WBGene00010064	WBGene00000618	WBGene00020700	WBGene00016273
WBGene00086562	WBGene00004997	WBGene00001477	WBGene00009963
WBGene00015322	WBGene00004994	WBGene00010790	WBGene00004997
WBGene00020758	WBGene00004300	WBGene00045486	WBGene00004994
WBGene00017912	WBGene00000681	WBGene00015411	WBGene00000893
WBGene00012096	WBGene00021625	WBGene00006556	WBGene00022013
WBGene00014024	WBGene00015340	WBGene00000616	WBGene00009983
WBGene00004106	WBGene00235094	WBGene00000712	WBGene00000738
WBGene00015411	WBGene00022679	WBGene00016627	WBGene00000606
WBGene00017474	WBGene00008215	WBGene00010064	WBGene00000902
WBGene00013007	WBGene00050906	WBGene00000657	WBGene00044539
WBGene00219443	WBGene00020194	WBGene00009221	WBGene00005005
WBGene00013796	WBGene00020033	WBGene00018104	WBGene00000756
WBGene00011315	WBGene00013637	WBGene00010142	WBGene00007590
WBGene00019039	WBGene00009983	WBGene00015322	WBGene00001444
WBGene00009573	WBGene00009964	WBGene00006557	WBGene00020472
WBGene00010473	WBGene00015012	WBGene00021774	WBGene00014254
WBGene00012581	WBGene00000756	WBGene00000169	WBGene00014178
WBGene00013816	WBGene00009028	WBGene00011267	WBGene00044623
WBGene00008016	WBGene00007218	WBGene00021165	WBGene00008988
WBGene00016627	WBGene00000560	WBGene00017598	WBGene00011083
WBGene00001103	WBGene00007682	WBGene00010034	WBGene00020473
WBGene00019591	WBGene00000691	WBGene00015587	WBGene00016450
WBGene00017249	WBGene00009963	WBGene00007887	WBGene00008851
WBGene00013794	WBGene00022713	WBGene00012581	WBGene00018547
WBGene00006547	WBGene00009029	WBGene00019547	WBGene00006539
WBGene00010142	WBGene00000740	WBGene00011791	WBGene00194658
WBGene00017252	WBGene00015841	WBGene00017253	WBGene00002090
WBGene00019700	WBGene00017841	WBGene00009202	WBGene00044212
WBGene00013752	WBGene00044113	WBGene00015610	WBGene00013960
WBGene00019922	WBGene00015220	WBGene00007182	WBGene00000681
WBGene00016307	WBGene00003096	WBGene00018248	WBGene00021002
WBGene00017598	WBGene00003879	WBGene00044798	WBGene00001699
WBGene00008611	WBGene00019662	WBGene00006547	WBGene00018601
WBGene00003595	WBGene00018297	WBGene00004815	WBGene00077490
WBGene00006545	WBGene00008496	WBGene00013794	WBGene00010236
WBGene00007867	WBGene00015046	WBGene00000703	WBGene00086560
WBGene00045486	WBGene00011530	WBGene00021293	WBGene00015532
WBGene00044281	WBGene00013536	WBGene00020218	WBGene00006743
WBGene00009827	WBGene00013215	WBGene00015265	WBGene00007989
WBGene00006556	WBGene00018601	WBGene00019591	WBGene00018969
WBGene00018104	WBGene00000555	WBGene00004814	WBGene00044922
WBGene00021165	WBGene00086560	WBGene00003595	WBGene00007097
WBGene00015610	WBGene00012255	WBGene00003377	WBGene00011520
