rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
1,tbx-38,tbx-38,1.3614052071968339,7.042903519622295e-8,0,TRUE
2,tbx-33,tbx-33,1.3356739721641868,2.561676085140878e-4,0,TRUE
3,B0310.2,B0310.2,1.3350724582199431,0.0011728747872215832,0,TRUE
4,F19F10.1,F19F10.1,1.1177986026633127,0.07866129953936139,0,FALSE
5,tbx-43,tbx-43,1.3318512856909215,0.08534490961126412,0,FALSE
6,ztf-16,ztf-16,1.0882605112018162,0.1751676211495032,0,FALSE
7,sex-1,sex-1,1.3140296650702008,0.19803434794270566,0,FALSE
8,ztf-3,ztf-3,3.1530513108429563,0.27659903328453406,0,FALSE
9,ceh-37,ceh-37,0.5245575902279427,0.5189772343582425,0,FALSE
10,dpy-27,dpy-27,0.1767351530601716,0.5858718867840416,0,FALSE
11,xbp-1,xbp-1,0.9100602234291084,0.9456007357939301,0,FALSE
12,die-1,die-1,1.4113001118746258,0.9979746549338968,0,FALSE
13,ztf-11,ztf-11,1.4209736516797633,0.9999952778612347,0,FALSE
14,lsy-27,lsy-27,0.9388721476253594,0.9999987380135156,0,FALSE
