rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
1,tbx-38,tbx-38,1.25363504012138,8.600455893496611e-5,0,TRUE
2,B0310.2,B0310.2,1.2706928721564932,0.005305257883385469,0,TRUE
3,tbx-33,tbx-33,1.2571801071711317,0.020351802236279578,0,TRUE
4,tbx-43,tbx-43,1.3066031520674155,0.054775346203315194,0,FALSE
5,F19F10.1,F19F10.1,1.1046866679013378,0.25308190714471207,0,FALSE
6,ztf-3,ztf-3,2.7315869015020344,0.5242452726531337,0,FALSE
7,sex-1,sex-1,1.1290333977867828,0.5302661901759109,0,FALSE
8,ztf-16,ztf-16,1.0558877538019427,0.6630815316326308,0,FALSE
9,ceh-37,ceh-37,0.5083207273614242,0.7403427492904102,0,FALSE
10,dpy-27,dpy-27,0.11919093325421407,0.8308965140044986,0,FALSE
11,xbp-1,xbp-1,0.9509134990443796,0.9463531836074014,0,FALSE
12,ztf-11,ztf-11,1.5589174117186786,0.9991936251240383,0,FALSE
13,lsy-27,lsy-27,1.0490560327253209,0.9999512732041468,0,FALSE
14,die-1,die-1,1.3973030661631787,0.9999959126163294,0,FALSE
