rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
1,tbx-43,tbx-43,1.2834302075088548,0.17389983683379745,0,FALSE
2,B0310.2,B0310.2,1.211604758920176,0.2799464385195293,0,FALSE
3,tbx-38,tbx-38,1.154722694997333,0.5172534696444611,0,FALSE
4,ztf-11,ztf-11,1.6855233284667241,0.6109423189541444,0,FALSE
5,F19F10.1,F19F10.1,1.0926524264074704,0.6695078888571903,0,FALSE
6,tbx-33,tbx-33,1.1851377927254512,0.7260187896508898,0,FALSE
7,ztf-3,ztf-3,2.3447634025179007,0.7325993805266062,0,FALSE
8,xbp-1,xbp-1,0.9884089711844231,0.7500629602327189,0,FALSE
9,ceh-37,ceh-37,0.4934184011688661,0.7935564850505665,0,FALSE
10,sex-1,sex-1,0.9592423031567964,0.8347653244483613,0,FALSE
11,lsy-27,lsy-27,1.1501837080910389,0.8532671763899579,0,FALSE
12,dpy-27,dpy-27,0.06637637535011606,0.8668029104012742,0,FALSE
13,ztf-16,ztf-16,1.0261757709828805,0.9332659813154677,0,FALSE
14,die-1,die-1,1.384456462565001,0.9996672694841647,0,FALSE
