	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00000001	1315.53851470493	951.578215415266	934.700345904675	1095.98766358163	1225.68457042178
WBGene00000002	16.3812267156745	25.2513772247068	13.9507514314131	22.5121790357307	31.1692411326407
WBGene00000003	44.1033026960466	43.8576551797539	50.4373320981857	36.7303973740869	52.2543160164859
WBGene00000004	633.827464460327	773.489554988387	739.389825864892	622.047052303085	487.706949487202
WBGene00000005	1.26009436274419	1.9935297808979	3.21940417647994	4.73940611278541	0
WBGene00000006	6.30047181372095	3.98705956179581	5.36567362746656	4.73940611278541	4.58371193127069
WBGene00000007	1.26009436274419	6.64509926965968	4.29253890197325	4.73940611278541	2.75022715876242
WBGene00000008	0	5.31607941572774	2.14626945098662	3.55455458458906	0
WBGene00000010	853.083883577816	878.48212344901	846.703298414223	837.690030434821	804.899815131134
WBGene00000012	7.56056617646514	3.32254963482984	4.29253890197325	10.6636637537672	6.41719670377897
WBGene00000013	472.535386029071	482.434206977293	415.303138765912	504.746751011646	358.446273025368
WBGene00000016	3.78028308823257	2.65803970786387	1.07313472549331	7.10910916917811	4.58371193127069
WBGene00000017	16.3812267156745	1.9935297808979	8.5850778039465	22.5121790357307	6.41719670377897
WBGene00000018	28.9821703431164	30.5674566404345	25.7552334118395	27.2515851485161	22.0018172700993
WBGene00000020	11.3408492646977	17.9417680280811	6.43880835295987	9.47881222557082	10.0841662487955
WBGene00000022	22.6816985293954	31.8964764943665	38.6328501177592	30.8061397331052	41.2534073814362
WBGene00000035	15.1211323529303	9.30313897752355	11.8044819804264	10.6636637537672	15.5846205663204
WBGene00000039	210.43575857828	243.210633269544	399.206117883512	349.531200817924	249.353929061126
WBGene00000040	115.928681372465	94.3604096291674	120.191089255251	94.7881222557082	112.759313509259
WBGene00000041	260.839533088047	200.681997943722	181.35976860837	180.097432285846	237.436278039822
WBGene00000043	5.04037745097676	3.98705956179581	9.65821252943981	9.47881222557082	13.7511357938121
WBGene00000046	17.6413210784186	7.97411912359162	3.21940417647994	3.55455458458906	0
WBGene00000049	3.78028308823257	2.65803970786387	2.14626945098662	2.3697030563927	1.83348477250828
WBGene00000050	3.78028308823257	3.32254963482984	6.43880835295987	7.10910916917811	0.916742386254139
WBGene00000055	22.6816985293954	13.2901985393194	13.9507514314131	13.0333668101599	15.5846205663204
WBGene00000056	18.9014154411628	19.2707878820131	10.7313472549331	14.2182183383562	5.50045431752483
WBGene00000057	10.0807549019535	14.6192183932513	4.29253890197325	7.10910916917811	7.33393909003311
WBGene00000058	7.56056617646514	4.65156948876178	13.9507514314131	5.92425764098176	6.41719670377897
WBGene00000063	19550.3640379761	15905.0451019304	18055.491756425	15933.8833511845	18242.2567440711
WBGene00000064	25684.5033958148	24463.2684513251	24938.5778857391	23259.8203500226	24020.4840046309
WBGene00000065	2913.33816666457	2979.6625125154	3079.89666216581	2785.58594278962	2678.72125263459
WBGene00000066	9463.30866420886	8672.51905683285	10115.3679225	8594.91298553634	10182.2576841247
WBGene00000067	927.429450979723	1138.97001481967	1243.76314684675	1139.82717012489	1552.04485992826
