	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00000001	1410.28737528272	1020.48908352125	1176.26992216453	932.018057262442	1136.88808934251	1016.51058153679	1645.2280344664
WBGene00000002	17.5610496922178	27.0800175794746	24.1612200228389	26.9086578212253	49.288930285243	23.8510862706955	30.4671858234519
WBGene00000003	47.2797491713557	47.033714743298	39.4209379320003	73.3872486033419	42.1550061650104	54.5167686187326	59.1421842455244
WBGene00000004	679.477538091198	829.503696381801	667.612658525812	676.385807960801	821.049812383126	1268.65063639842	502.708566086957
WBGene00000005	1.35084997632445	2.13789612469536	5.08657263638714	2.4462416201114	1.29707711276955	1.13576601289026	2.68828110206929
WBGene00000006	6.75424988162224	4.27579224939073	5.08657263638714	6.11560405027849	1.29707711276955	11.3576601289026	1.79218740137953
WBGene00000007	1.35084997632445	7.12632041565121	5.08657263638714	11.0080872905013	7.13392412023254	1.13576601289026	5.37656220413858
WBGene00000008	0	5.70105633252097	3.81492947729036	2.4462416201114	1.94561566915433	1.13576601289026	4.48046850344881
WBGene00000010	914.525433971652	942.09955894909	899.051713481427	726.533761173084	846.991354638517	849.552977641916	922.976511710456
WBGene00000012	8.10509985794669	3.5631602078256	11.4447884318711	15.9005705307241	14.2678482404651	14.7649581675734	8.06484330620787
WBGene00000013	506.568741121668	517.370862176278	541.71998577523	1128.94050768141	1057.76638546357	697.360331914621	491.05934797799
WBGene00000016	4.05254992897335	2.85052816626048	7.62985895458071	1.2231208100557	6.48538556384776	5.67883006445131	3.58437480275905
WBGene00000017	17.5610496922178	2.13789612469536	24.1612200228389	6.11560405027849	9.07953978938686	4.54306405156105	4.48046850344881
WBGene00000018	31.0695494554623	32.7810739119956	29.2477926592261	42.8092283519494	30.4813121500845	52.2452365929521	17.0257803131055
WBGene00000020	12.15764978692	19.2410651222583	10.1731452727743	17.1236913407798	6.48538556384776	12.4934261417929	7.1687496055181
WBGene00000022	24.3152995738401	34.2063379951258	33.0627221365164	59.9329196927292	41.5064676086257	39.7518104511592	51.9734346400062
