	amir_1_mix_1	amir_1_mix_2	amir_1_mix_3	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10	amir_1_mix_11	amir_1_mix_12	amir_1_mix_13	amir_1_mix_14	amir_1_mix_15	amir_1_mix_16	amir_1_mix_17	amir_1_mix_18	amir_1_mix_20	amir_1_mix_21	amir_1_mix_22	amir_1_mix_24
ERCC-00002	49846	58941	3990	52089	54680	52221	49695	45324	51251	59905	61421	54237	59900	56620	54323	45577	47135	57126	50495	59768	49376
ERCC-00003	2768	3393	296	3071	3338	3234	3193	2699	3005	3308	3607	3381	3318	3688	3117	2768	2827	3541	2810	3545	2910
ERCC-00004	31803	39245	2524	35526	38111	34893	33753	31918	36391	39622	39592	33041	43187	38971	37290	31668	32742	38333	35059	38807	32465
ERCC-00009	5279	6802	463	5207	6324	5706	5176	5153	5546	5968	6534	5370	6745	6169	5679	5287	5507	6309	5509	6611	5411
ERCC-00012	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1
ERCC-00013	1	5	0	2	1	3	6	2	5	3	5	3	4	2	5	3	2	5	3	10	2
ERCC-00014	13	17	0	10	10	17	21	12	16	26	21	16	12	19	13	23	29	14	27	20	11
ERCC-00016	12	2	0	0	1	0	2	3	4	1	0	2	2	1	0	5	0	3	1	1	0
ERCC-00017	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ERCC-00019	174	190	5	138	148	152	191	162	149	151	224	177	193	197	161	118	159	148	163	199	151
ERCC-00022	1138	1504	98	1153	1404	1358	1363	1144	1341	1313	1553	1300	1661	1533	1476	1202	1315	1451	1380	1635	1185
ERCC-00024	1	5	0	2	2	0	1	0	1	1	3	0	3	1	1	1	0	0	4	0	2
ERCC-00025	95	124	12	122	119	129	114	84	123	127	166	112	137	141	116	122	135	144	124	136	118
ERCC-00028	9	11	1	9	8	8	6	7	11	7	9	6	15	7	8	9	4	7	12	11	9
ERCC-00031	28	47	2	30	31	31	43	33	35	23	31	23	37	38	23	25	31	33	28	37	36
ERCC-00033	4	10	0	3	9	3	8	6	6	5	6	4	2	5	2	7	5	4	2	5	4
ERCC-00034	81	110	7	89	97	91	96	83	69	86	86	108	103	122	91	71	95	102	96	99	84
ERCC-00035	331	377	22	314	354	379	344	288	325	385	403	316	317	374	333	291	311	356	352	407	307
ERCC-00039	14	14	0	13	15	14	12	7	14	14	7	15	8	19	17	17	7	16	12	16	15
ERCC-00040	5	11	1	11	8	9	14	3	2	8	7	9	15	12	1	7	6	6	11	10	8
ERCC-00041	0	2	0	0	1	0	1	2	2	0	2	1	1	3	1	0	0	3	1	4	1
ERCC-00042	2456	3016	146	2515	2676	2594	2543	2346	2692	2945	2882	2520	2993	2772	2724	2395	2398	2912	2598	2900	2464
ERCC-00043	1153	1492	132	1440	1503	1439	1403	1106	1384	1473	1507	1501	1846	1599	1490	1293	1384	1692	1272	1631	1336
ERCC-00044	306	314	12	242	247	290	256	244	294	331	377	286	316	317	247	270	296	289	281	349	234
ERCC-00046	16625	20982	1419	18508	20571	18261	19073	16539	18445	20489	21084	19060	23439	21149	19632	16991	18169	21145	18838	22266	17220
ERCC-00048	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERCC-00051	291	375	28	340	322	252	300	290	313	354	370	301	366	335	390	328	314	323	346	337	339
ERCC-00053	339	438	35	395	345	350	360	353	387	368	397	361	431	373	353	307	369	353	425	447	333
ERCC-00054	19	26	3	21	36	23	30	36	41	46	26	39	48	33	20	29	25	26	35	50	22
ERCC-00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00058	8	5	1	10	2	13	7	8	10	9	11	8	14	8	9	18	15	19	8	10	7
ERCC-00059	26	41	2	30	38	38	23	41	28	35	40	41	38	35	44	29	28	35	45	36	25
ERCC-00060	16652	19514	1134	16234	16003	17312	17580	16000	18076	19766	20640	17772	21745	19925	18371	16592	18132	20188	18067	21107	16167
ERCC-00061	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00062	1505	2024	155	2014	2050	1784	1846	1440	1675	2092	1799	1807	2191	2059	1935	1656	1607	2078	1909	2172	1767
ERCC-00067	4	4	0	4	8	1	8	3	3	4	5	8	7	7	8	2	4	5	7	7	2
ERCC-00069	2	13	0	14	3	17	6	7	11	12	10	6	10	7	10	3	11	9	9	8	12
ERCC-00071	145	214	9	130	166	173	141	156	164	158	189	176	192	193	153	151	135	149	197	189	143
ERCC-00073	7	11	1	9	11	18	11	11	18	9	6	13	11	10	16	11	12	13	11	13	8
ERCC-00074	55675	68935	4574	61032	66085	62258	60788	55652	62441	67044	69006	62638	75626	68394	62866	56097	61739	68854	64152	73991	56581
ERCC-00075	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0
ERCC-00076	599	739	42	648	690	635	666	632	688	745	787	670	820	722	700	606	663	724	726	812	615
ERCC-00077	41	64	8	82	73	40	56	46	44	71	50	61	50	92	55	64	50	70	46	65	53
ERCC-00078	126	148	14	133	115	130	141	131	149	142	168	157	138	156	133	99	133	159	160	169	137
ERCC-00079	261	355	26	264	270	291	244	277	324	320	344	284	328	335	261	277	321	329	287	367	232
ERCC-00081	1	3	0	1	2	2	2	0	2	3	3	1	2	0	3	1	0	0	0	2	0
ERCC-00083	0	0	0	2	7	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
ERCC-00084	40	38	5	29	51	41	35	32	38	37	55	45	53	52	41	29	62	45	46	54	23
ERCC-00085	61	99	7	83	84	94	73	59	91	125	99	86	95	84	80	75	78	92	71	117	82
ERCC-00086	0	2	0	0	0	0	4	1	1	0	0	4	1	1	1	1	1	2	1	2	0
ERCC-00092	917	1235	67	1046	1200	1071	1115	887	981	1286	1163	1106	1323	1150	1124	940	967	1242	1064	1293	961
ERCC-00095	679	777	84	690	795	669	713	685	824	786	736	674	835	749	795	644	734	926	767	835	639
ERCC-00096	11115	14377	1150	11772	12484	12375	11781	10516	11929	13089	14292	13007	14711	13990	12791	10645	11545	12075	12285	15030	11986
ERCC-00097	2	26	1	10	10	14	14	16	10	15	26	19	24	14	12	8	9	15	19	18	3
ERCC-00098	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERCC-00099	553	692	43	708	712	670	680	609	717	698	839	600	792	863	670	583	710	751	824	803	722
ERCC-00104	3	8	1	0	6	7	7	8	11	2	11	9	9	8	7	10	1	6	6	2	6
ERCC-00108	1656	2126	183	1727	1947	1705	1670	1591	1741	2051	2132	1795	2008	1867	1757	1484	1549	2062	1637	2126	1642
ERCC-00109	5	2	0	4	6	6	9	3	5	3	6	2	7	7	5	4	5	20	4	3	3
ERCC-00111	4449	5165	553	4462	4664	4654	4329	4237	4807	5257	4802	4645	5436	4801	4599	4032	4150	5060	4678	5179	4540
ERCC-00112	168	240	16	173	199	197	181	149	189	196	223	182	231	265	187	147	161	177	183	241	183
ERCC-00113	3569	4406	251	3552	4194	3902	3628	3634	3868	4051	4651	3910	4960	4493	3895	3485	3901	4254	4096	4788	3647
ERCC-00116	308	333	22	332	340	310	291	258	326	346	356	323	377	327	328	260	278	322	275	337	309
ERCC-00117	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ERCC-00120	1	13	1	8	20	4	11	5	13	12	3	6	7	5	6	9	12	10	4	11	9
ERCC-00123	0	3	0	3	3	2	3	1	7	3	2	3	6	12	2	4	0	1	1	6	4
ERCC-00126	29	31	2	24	17	34	26	28	30	39	33	31	25	34	35	16	8	24	24	30	16
ERCC-00130	33391	40781	2597	34459	38817	35860	34401	32552	36109	41064	41490	36634	43088	40194	36063	32192	36825	40015	35893	44380	34019
ERCC-00131	160	199	13	201	199	185	188	201	168	191	188	164	192	200	181	145	164	205	181	248	165
ERCC-00134	103	90	8	84	100	64	87	72	101	114	100	100	107	72	69	93	73	117	95	129	78
ERCC-00136	734	842	68	731	842	743	815	711	828	836	856	753	914	889	795	734	744	876	826	892	719
ERCC-00137	9	4	0	4	9	5	11	6	6	6	5	11	10	5	10	7	8	4	6	8	10
ERCC-00138	2	1	0	2	0	7	7	10	6	12	14	25	7	2	22	4	3	12	3	8	6
ERCC-00142	1	1	0	0	0	6	0	2	1	0	2	1	0	1	0	1	1	0	1	2	1
ERCC-00143	35	31	1	36	42	22	25	28	27	38	33	37	31	39	31	25	29	40	38	38	35
ERCC-00144	65	61	3	50	58	47	42	59	47	73	60	66	74	72	71	66	59	59	48	50	62
ERCC-00145	1083	1309	94	1123	1211	1209	1226	1082	1234	1288	1389	1248	1401	1389	1198	1069	1121	1293	1228	1484	1162
ERCC-00147	2	1	0	0	0	1	1	0	0	1	7	0	0	1	0	1	1	0	0	1	1
ERCC-00148	65	67	6	53	58	38	51	41	50	54	58	63	87	50	66	51	61	65	45	63	44
ERCC-00150	19	15	3	13	12	22	21	11	17	30	16	17	13	15	29	14	19	16	18	22	12
ERCC-00154	37	45	4	41	54	47	34	39	44	56	35	32	48	56	60	37	46	53	56	46	42
ERCC-00156	0	1	0	0	1	4	0	1	1	0	2	1	6	1	0	1	0	3	1	1	6
ERCC-00157	14	23	0	16	25	29	17	17	20	20	27	15	27	17	16	15	13	12	25	27	16
ERCC-00158	4	1	0	2	5	3	2	0	1	4	7	6	1	1	1	1	1	4	1	1	1
ERCC-00160	55	40	3	26	43	48	43	42	55	39	46	42	64	55	48	31	47	48	60	62	42
ERCC-00162	931	1249	73	889	951	1041	957	910	948	1187	1196	972	1208	1237	1003	896	1000	1113	1060	1212	1012
ERCC-00163	21	28	3	20	30	18	25	25	27	28	26	24	28	33	20	27	21	28	17	51	20
ERCC-00164	6	7	2	6	10	9	5	3	7	12	6	8	18	6	3	10	14	18	10	10	13
ERCC-00165	182	196	22	173	220	178	173	142	160	185	236	199	220	231	170	159	200	222	188	199	165
ERCC-00168	4	10	3	13	15	9	13	3	15	12	11	10	23	11	11	10	12	14	10	18	15
ERCC-00170	44	71	3	58	65	54	61	55	68	59	74	64	57	56	47	45	51	82	43	61	52
ERCC-00171	34190	39964	2590	31913	39006	35457	35280	33180	36104	39024	42074	37271	44621	40397	35893	31480	37589	39721	37866	45330	33427
WBGene00000001	1044	767	99	1432	1221	871	925	618	1337	762	1052	797	1753	1413	850	895	931	1339	1836	1391	1341
WBGene00000002	13	35	4	38	31	13	19	27	34	22	37	36	76	69	32	21	26	20	34	25	21
WBGene00000003	35	30	1	66	34	47	31	26	57	60	25	29	65	56	19	48	22	45	66	16	35
WBGene00000004	503	456	58	1164	659	689	525	615	532	553	505	737	1266	1155	476	1117	390	1098	561	403	511
WBGene00000005	1	2	0	3	0	3	4	0	0	2	0	5	2	1	0	1	1	1	3	3	3
WBGene00000006	5	3	0	6	2	5	4	1	5	5	5	4	2	3	1	10	3	5	2	4	6
WBGene00000007	1	0	0	10	4	4	4	5	3	9	3	1	11	10	7	1	1	4	6	4	3
WBGene00000008	0	3	0	8	1	2	3	3	0	2	2	1	3	0	1	1	0	7	5	3	1
WBGene00000009	1	1	0	0	0	0	1	2	2	0	0	0	2	3	0	0	1	0	0	3	1
WBGene00000010	677	478	116	1322	745	789	707	486	878	594	682	761	1306	1127	577	748	484	1056	1030	772	798
WBGene00000012	6	8	2	5	4	4	9	1	7	13	5	8	22	11	10	13	8	10	9	2	6
WBGene00000013	375	312	35	726	387	387	426	234	391	923	901	800	1631	1583	789	614	555	675	548	423	415
WBGene00000014	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00000015	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
WBGene00000016	3	3	2	4	9	1	6	6	5	1	1	10	10	17	10	5	3	5	4	13	11
WBGene00000017	13	16	3	3	11	8	19	11	7	5	14	10	14	13	15	4	6	8	5	17	5
