sample	total	% mapped	% multi aligned
tophat_aligned/amir_1_sample_0033	3369544	93.1	11.3
tophat_aligned/amir_1_sample_0061	2795682	93.5	2.0
tophat_aligned/amir_1_sample_0008	1058777	35.5	4.1
tophat_aligned/amir_1_sample_0020	2839091	94.5	8.2
tophat_aligned/amir_1_sample_0043	2547280	94.4	3.8
tophat_aligned/amir_1_sample_0057	3453017	95.0	3.3
tophat_aligned/amir_1_sample_0037	4448310	95.4	4.1
tophat_aligned/amir_1_sample_0060	4402301	94.9	4.4
tophat_aligned/amir_1_sample_0038	4666754	94.1	4.6
tophat_aligned/amir_1_sample_0046	2870325	94.0	5.9
tophat_aligned/amir_1_sample_0041	4140571	94.8	4.1
tophat_aligned/amir_1_sample_0016	2184428	94.6	7.1
tophat_aligned/amir_1_sample_0023	1597583	94.0	7.4
tophat_aligned/amir_1_sample_0048	2602491	95.0	5.2
tophat_aligned/amir_1_sample_0014	3381468	93.8	7.9
tophat_aligned/amir_1_sample_0028	1525626	93.9	9.1
tophat_aligned/amir_1_sample_0030	2924482	94.6	9.1
tophat_aligned/amir_1_sample_0002	2852382	93.5	9.1
tophat_aligned/amir_1_sample_0012	5516217	95.2	6.0
tophat_aligned/amir_1_sample_0024	2264309	94.2	10.3
tophat_aligned/amir_1_sample_0056	3310372	94.7	3.7
tophat_aligned/amir_1_sample_0003	2760662	93.8	7.7
tophat_aligned/amir_1_sample_0034	1965984	95.0	13.4
tophat_aligned/amir_1_sample_0042	4000165	94.8	4.3
tophat_aligned/amir_1_sample_0032	4046936	94.0	12.3
tophat_aligned/amir_1_sample_0050	2400959	94.9	6.2
tophat_aligned/amir_1_sample_0009	1073133	32.4	4.4
tophat_aligned/amir_1_sample_0047	2590598	94.1	3.5
tophat_aligned/amir_1_sample_0052	3700608	94.2	6.2
tophat_aligned/amir_1_sample_0044	2543273	93.0	3.7
tophat_aligned/amir_1_sample_0058	2577527	94.6	5.0
tophat_aligned/amir_1_sample_0054	3595183	94.9	4.8
tophat_aligned/amir_1_sample_0051	2287511	93.7	7.2
tophat_aligned/amir_1_sample_0019	2161356	94.7	10.7
tophat_aligned/amir_1_sample_0055	4818768	94.6	3.4
tophat_aligned/amir_1_sample_0004	1426344	93.9	6.1
tophat_aligned/amir_1_sample_0062	4253419	94.0	2.0
tophat_aligned/amir_1_sample_0031	3547469	93.6	14.6
tophat_aligned/amir_1_sample_0035	3598417	94.5	9.0
tophat_aligned/amir_1_sample_0039	5048141	94.2	3.8
tophat_aligned/amir_1_sample_0007	1125163	24.2	3.5
tophat_aligned/amir_1_sample_0063	2320147	93.8	2.1
tophat_aligned/amir_1_sample_0022	2979511	92.7	12.0
tophat_aligned/amir_1_sample_0021	3121773	93.9	11.8
tophat_aligned/amir_1_sample_0005	2840021	94.5	6.4
tophat_aligned/amir_1_sample_0001	1988941	93.9	8.3
tophat_aligned/amir_1_sample_0053	2909646	94.8	5.0
tophat_aligned/amir_1_sample_0029	3316569	94.4	5.0
tophat_aligned/amir_1_sample_0018	3292954	94.0	10.9
tophat_aligned/amir_1_sample_0013	2546970	94.7	10.6
tophat_aligned/amir_1_sample_0017	3235893	94.0	6.0
tophat_aligned/amir_1_sample_0045	2727070	93.3	3.0
tophat_aligned/amir_1_sample_0040	3878366	94.1	7.0
tophat_aligned/amir_1_sample_0011	4791537	95.1	3.5
tophat_aligned/amir_1_sample_0025	3555753	94.3	7.8
tophat_aligned/amir_1_sample_0026	2959960	94.3	6.9
tophat_aligned/amir_1_sample_0027	3833422	93.8	11.5
tophat_aligned/amir_1_sample_0015	3949357	93.9	14.1
tophat_aligned/amir_1_sample_0036	2688942	94.7	6.6
tophat_aligned/amir_1_sample_0006	3057034	94.2	6.0
tophat_aligned/amir_1_sample_0059	3449668	94.7	5.1
tophat_aligned/amir_1_sample_0049	2661054	94.3	6.6
tophat_aligned/amir_1_sample_0010	2650583	95.0	4.2
