Gene ID	Mapped IDs	Gene Name; Gene Symbol	Function	PANTHER Family/Subfamily	PANTHER Protein Class	GO database MF Complete	GO database BP Complete	GO database CC Complete
CAEEL|WormBase=WBGene00044798|UniProtKB=Q1T6W8	WBGene00044798	T BoX family;tbx-43;ortholog	Transcription Factor	T BOX FAMILY (PTHR11267:SF179)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	"transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355)"	nucleus(GO:0005634)
CAEEL|WormBase=WBGene00011434|UniProtKB=O02299	WBGene00011434	Uncharacterized protein;CELE_T04D3.5;ortholog						
CAEEL|WormBase=WBGene00017402|UniProtKB=Q9BLB9	WBGene00017402	Uncharacterized protein;CELE_F12E12.1;ortholog						
CAEEL|WormBase=WBGene00003219|UniProtKB=G5EBL2	WBGene00003219	Protein mes-1;mes-1;ortholog		"FRAYED, ISOFORM A (PTHR24361:SF159)"		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase kinase kinase activity(GO:0004709);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524)	MAPK cascade(GO:0000165);activation of MAPKK activity(GO:0000186);cell fate specification(GO:0001708);developmental process involved in reproduction(GO:0003006);protein phosphorylation(GO:0006468);cell cycle(GO:0007049);establishment or maintenance of cell polarity(GO:0007163);gamete generation(GO:0007276);asymmetric cell division(GO:0008356);peptidyl-tyrosine phosphorylation(GO:0018108);signal transduction by protein phosphorylation(GO:0023014);stress-activated protein kinase signaling cascade(GO:0031098);activation of protein kinase activity(GO:0032147);establishment of mitotic spindle localization(GO:0040001);asymmetric protein localization involved in cell fate determination(GO:0045167);embryonic digestive tract morphogenesis(GO:0048557);cell division(GO:0051301);left/right axis specification(GO:0070986)	nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021)
CAEEL|WormBase=WBGene00012405|UniProtKB=O01709	WBGene00012405	Zinc finger putative Transcription Factor family;ztf-25;ortholog	Transcription Factor	FI01124P (PTHR24409:SF295)	C2H2 zinc finger transcription factor(PC00248)	nucleic acid binding(GO:0003676)		
CAEEL|WormBase=WBGene00004814|UniProtKB=G5ECY4	WBGene00004814	SKR-8;skr-8;ortholog	Chromatin-related	SKR-10-RELATED (PTHR11165:SF54)	ubiquitin-protein ligase(PC00234)	ligase activity(GO:0016874)	ubiquitin-dependent protein catabolic process(GO:0006511)	
CAEEL|WormBase=WBGene00011388|UniProtKB=E1B6V8	WBGene00011388	Uncharacterized protein;CELE_T02G6.5;ortholog	F-box protein-related	SKN-1 DEPENDENT ZYGOTIC TRANSCRIPT 15 PROTEIN (PTHR21503:SF8)				membrane(GO:0016020);integral component of membrane(GO:0016021)
CAEEL|WormBase=WBGene00013409|UniProtKB=Q9XWG4	WBGene00013409	F-box B protein;fbxb-56;ortholog	F-box protein-related	F-BOX B PROTEIN-RELATED (PTHR22899:SF0)				
CAEEL|WormBase=WBGene00008882|UniProtKB=Q93520	WBGene00008882	Uncharacterized protein;CELE_F16B12.6;ortholog		SUBFAMILY NOT NAMED (PTHR31824:SF3)				
CAEEL|WormBase=WBGene00020508|UniProtKB=Q22493	WBGene00020508	Uncharacterized protein;CELE_T14F9.2;ortholog						
