Gene_stable_ID	Gene_name	Gene_description	Gene_type	Chromosome.scaffold_name	Gene_start_.bp.	Gene_end_.bp.	Strand	Transcript_stable_ID	Transcript_start_.bp.	Transcript_end_.bp.	NCBI_gene_ID	RefSeq_ID	GO_term_name
WBGene00000001	aap-1	phosphoinositide_kinase_AdAPter_subunit	protein_coding	I	5107843	5110164	+	Y110A7A.10	5107843	5110164	172141	NM_059121	protein_kinase_binding;dauer_larval_development;determination_of_adult_lifespan;phosphatidylinositol_phosphorylation;phosphatidylinositol_3-kinase_complex;kinase_activity;insulin_receptor_signaling_pathway;regulation_of_phosphatidylinositol_3-kinase_activity;1-phosphatidylinositol-3-kinase_regulator_activity;phosphorylation;phosphatidylinositol_3-kinase_regulator_activity
WBGene00000002	aat-1	Amino_Acid_Transporter	protein_coding	IV	9598977	9601695	-	F27C8.1	9598977	9601695	177793	NM_069306	plasma_membrane;amino_acid_transmembrane_transporter_activity;integral_component_of_plasma_membrane;antiporter_activity;L-alpha-amino_acid_transmembrane_transport;amino_acid_transmembrane_transport;amino_acid_transport_complex;membrane;integral_component_of_membrane;L-amino_acid_transmembrane_transporter_activity
WBGene00000003	aat-2	Amino_Acid_Transporter	protein_coding	V	9244412	9246360	-	F07C3.7	9244412	9246360	184126	NM_072993	integral_component_of_plasma_membrane;antiporter_activity;L-amino_acid_transmembrane_transporter_activity;membrane;integral_component_of_membrane;amino_acid_transmembrane_transporter_activity;amino_acid_transmembrane_transport;L-alpha-amino_acid_transmembrane_transport
WBGene00000004	aat-3	Amino_Acid_Transporter	protein_coding	X	2552436	2557725	+	F52H2.2a;F52H2.2b	2554231;2552436	2557725	180557	NM_076060;NM_001313422	plasma_membrane;amino_acid_transmembrane_transporter_activity;integral_component_of_plasma_membrane;antiporter_activity;L-alpha-amino_acid_transmembrane_transport;amino_acid_transmembrane_transport;amino_acid_transport_complex;membrane;integral_component_of_membrane;L-amino_acid_transmembrane_transporter_activity
WBGene00000006	aat-5	Amino_Acid_Transporter	protein_coding	I	2571776	2576020	-	C55C2.5a;C55C2.5b;C55C2.5c;C55C2.5d	2571776;2571988	2576020;2576006	171814	NM_058601;NR_131780;NR_131359;NR_131358	integral_component_of_plasma_membrane;antiporter_activity;L-amino_acid_transmembrane_transporter_activity;membrane;integral_component_of_membrane;amino_acid_transmembrane_transporter_activity;amino_acid_transmembrane_transport;L-alpha-amino_acid_transmembrane_transport
WBGene00000007	aat-6	Amino_Acid_Transporter	protein_coding	V	11466842	11470663	-	T11F9.4a;T11F9.4b.1;T11F9.4b.2	11466842	11470663;11469178;11469351	188421	NM_073504;NM_001129542	integral_component_of_plasma_membrane;antiporter_activity;L-amino_acid_transmembrane_transporter_activity;membrane;integral_component_of_membrane;amino_acid_transmembrane_transporter_activity;amino_acid_transmembrane_transport;L-alpha-amino_acid_transmembrane_transport
WBGene00000008	aat-7	Amino_Acid_Transporter	protein_coding	II	1386888	1391567	+	F54D12.3	1386888	1391567	186240	NM_061559	integral_component_of_plasma_membrane;antiporter_activity;L-amino_acid_transmembrane_transporter_activity;membrane;integral_component_of_membrane;amino_acid_transmembrane_transporter_activity;amino_acid_transmembrane_transport;L-alpha-amino_acid_transmembrane_transport
WBGene00000010	aat-9	Amino_Acid_Transporter	protein_coding	I	11388747	11396660	-	Y53H1C.1a;Y53H1C.1b	11388747;11388769	11396660	190250	NM_001026617;NM_001026618	integral_component_of_plasma_membrane;cell_surface;antiporter_activity;L-amino_acid_transmembrane_transporter_activity;membrane;integral_component_of_membrane;amino_acid_transmembrane_transporter_activity;amino_acid_transmembrane_transport;L-alpha-amino_acid_transmembrane_transport
WBGene00000012	abf-1	Antibacterial_factor-related_peptide_1	protein_coding	I	3886111	3887080	-	C50F2.9	3886111	3887080	266827	NM_058852	extracellular_region;defense_response_to_other_organism
WBGene00000013	abf-2	Antibacterial_factor-related_peptide_2	protein_coding	I	3885548	3885961	-	C50F2.10	3885548	3885961	266826	?	extracellular_region;defense_response_to_fungus;defense_response_to_Gram-negative_bacterium;defense_response_to_Gram-positive_bacterium;killing_of_cells_of_other_organism;molecular_function;defense_response_to_bacterium;defense_response_to_other_organism
WBGene00000016	abf-5	AntiBacterial_Factor_related	protein_coding	X	12792849	12793386	+	T22H6.5	12792849	12793386	188770	NM_077735	?
